"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
630,MICROTRIBES UNITED PRIVATE LIMITED,RAJASTHAN,Jaipur,Other information technology and,Fanatic Cattos Pte. Ltd.,Singapore,99990,1280.6982,Received in the
,,,,computer service activities n.e.c,,,,,company
631,QUOLUM INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Quolum Inc,U.S.A,99990,1280.6982,Received in the company
632,RAMEN NETWORKS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",RAMEN NETWORKS INC.,U.S.A,99990,1280.6982,Received in the company
633,SCIFORMA TECHNOLOGY INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",SCIFORMA HOLDCO,France,99990,1280.6982,Received in the company
634,BACCARA AUTOMATION AND CONTROL INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Wholesale of electronic valves and tubes, semiconductor devices, microchips, integrated circuits and printed circuits",Baccara Geva A.C.S. Ltd,Israel,99000,1280.4048,Received in the Company
635,Eqsense Technologies Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Lawcubator Technologies Inc,Canada,99000,1280.4048,Received in the Company
636,ZOOID SOLUTIONS INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients","ZOOID TECH, INC.",U.S.A,99900.01,1279.5456,Received in the company
637,Hanseatic Connect India Private Limited,MAHARASHTRA,Mumbai,Human resources provision and management of human resources functions,Hanseatic Connect GmbH & Co. KG,Germany,99900,1279.5455,Received in the company
638,QMCO Storage India Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Quantum Corporation,U.S.A,99900,1279.5455,Received in the company
639,TARTLER INDIA,DELHI,Central Delhi,Wholesale of,US GmbH,Germany,99900,1279.5455,Received in
,PRIVATE LIMITED,,,"electrical machinery, equipment and supplies, n.e.c.",,,,,the company
640,OPEX ANALYTICS PRIVATE LIMITED,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,OPEX ANALYTICS LLC,U.S.A,99859.5,1279.0267,Received in the company
641,PICKRR TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,Courier activities,Pickrr Holding LLC,U.S.A,98486.25,1273.7602,Received in the Company
642,CX100 Solutions Private Limited,KARNATAKA,Bengaluru,"Computer consultancy and computer facilities management
activities",CX100 INC,U.S.A,99000,1268.018,Received in the company
643,MANABE VISION MANAGEMENT PRIVATE LIMITED,HARYANA,Gurgaon,Medical practice activities,AYUMU MANABE,Japan,99000,1268.018,Received in the company
644,PIVOTING OWL TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,Pivoting Owl Inc,U.S.A,99000,1268.018,Received in the company
645,VEARC TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",VEARC HOLDINGS LLC,U.S.A,99000,1268.018,Received in the company
646,MEVIS SERVICES PRIVATE LIMITED,DELHI,South West Delhi,Sale of motor vehicle parts and accessories,"Tomatoauto Co., Ltd",South Korea,98000,1267.4714,Received in the Company
647,SHREETON TEXTILE CONTRACTS PRIVATE LIMITED,MAHARASHTRA,Pune,"Manufacture of curtains, bed covers and furnishings",TULIPS AMBBIENCE FURNISHINGS LLC,UAE,95000,1247.2462,Received in the company
648,AGDOVA TECHNOLOGIES PRIVATE LIMITED,HARYANA,Faridabad,"Other professional, scientific and technical activities
n.e.c.",M/s AGYLITI LLC,U.S.A,92916,1219.8856,Received in the company
649,ROOX MEDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Production of motion picture,M/s. Aker Group Corp,U.S.A,90000,1181.6017,"Received in the
company"
650,SUSTAINKART MARKETPLACE INDIA,TELANGANA,Hyderabad,Other retail sale in non-specialized,Sustainkart Marketplace Inc,U.S.A,89050,1169.1292,Received in the
,PRIVATELIMITED,,,stores,,,,,company
651,Sabari Adamas Industries Private Limited,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,Spendflo Inc,U.S.A,90000,1164.0043,Received in the Company
652,FUSION CONSULTING INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Providing software support and maintenance to the clients,Fusion Consulting AG,Switzerland,90000,1152.7437,Received in the company
653,TRUEBROWNS LIFESTYLE PRIVATE LIMITED,HARYANA,Gurgaon,Manufacture of wearing apparel n.e.c.,The G.O.A.T Brand labs Pte. Ltd.,Singapore,82758.62,1086.5303,Received in the company
654,GOAT BRAND LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and
technical activities n.e.c.",The G.O.A.T Brand labs Pte. Ltd.,Singapore,80000,1050.3126,Received in the company
655,SEPIA INNOVATIONS PRIVATE LIMITED,MAHARASHTRA,Pune,"Providing software support and maintenance to the
clients",SEPIA INNOVATIONS K.K.,Japan,80000,1050.3126,Received in the company
656,EXTREME ENERGY SOLUTIONS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of other general purpose machinery
n.e.c. (fans intended for industrial applications,exhaust hoods for commercial, laboratory or industrial use; calendering or other rolling machines othe",Extreme Energy Solutions Inc,U.S.A,80000,1024.661,Received in the company
657,DORLE CONTROLS PRIVATE LIMITED,MAHARASHTRA,Pune,Other specialized design activities n.e.c.,Dorle Controls LLC,U.S.A,76500,989.4037,Received in the Company
658,SENTOSA SHIP BROKERS INDIA PRIVATE LIMITED,DELHI,Central Delhi,Sea and coastal freight water transport,SENTOSA SHIP BROKERS PTE LTD,Singapore,74990,984.5368,Received in the company
659,VERTEXBLUE INDIA PRIVATE LIMITED,GUJARAT,Ahmedabad,"Other information
technology and computer service",Vertexblue LLC,U.S.A,76090,984.101,"Received in
the Company"
,,,,activities n.e.c,,,,,
660,CASEPOINT PRIVATE LIMITED,GUJARAT,Surat,Other information technology and computer service activities n.e.c,@Legal Discovery LLC now Casepoint LLC,U.S.A,74250,974.8214,Received in the company
661,TRANSASIA GLOBAL SHIPPING PRIVATE LIMITED,DELHI,Central Delhi,Travel agency activities,TRANSMODAL INT'L FREIGHT CONSULTANTS INC.,Canada,75000,960.6197,Received in the company
662,RECAP INDIA ENERGY SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and
technical activities n.e.c.",RECAP ENERGY AB (publ),Sweden,74990,960.4916,Received in the company
663,Nsch Technologies India Private Limited,DELHI,East Delhi,"Other data processing, hosting
and related activities n.e.c.",NS Capital Holdings Pty Ltd,Australia,66893.31,856.7871,Received in the company
664,APEXBLISS INFRAVENTURES PRIVATE LIMITED,MAHARASHTRA,Raigarh(MH),"Construction of buildings carried out on own-account basis or on a fee or
contract basis",Alok Abhayraj Pandey,Uganda,65400,837.6604,Received in the company
665,KNOWCROSS SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Providing software support and maintenance to the
clients","UniFocus Holdco, Inc.",U.S.A,63452.71,833.0648,Received in the company
666,VOGO AUTOMOTIVE PRIVATE LIMITED,TAMIL NADU,Chennai,Renting and leasing of motor vehicles,CHALO MOBILITY PTE.LTD,Singapore,62776.22,824.1832,Received in the company
667,INR ENERGY VENTURES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power
generation using solar energy",BREP Asia II Indian Holding Co III (NQ) Pte. Ltd.,Singapore,63600,814.6055,"Received in
the company"
668,ACOTA CONSULTING (INDIA) PRIVATE LIMITED,TAMIL NADU,Coimbatore,"Accounting, bookkeeping and auditing activities","PED AND BANA PTY LTD
(On behalf of PED and BANA family Trust)",Australia,61080,789.9709,Received in the Company
669,YB Tech Solutions Private Limited,MAHARASHTRA,Pune,"Other professional, scientific and technical activities n.e.c.",Park Si Joong,South Korea,60000,787.7344,Received in the company
670,CAMBRIDGE INNOVATIONS PRIVATE LIMITED,Telangana,Hyderabad,"Other information technology and computer service
activities n.e.c",WORLDWIDE TECHNOLOGY INVESTMENTS PTE LTD,Singapore,60860.97,787.1381,Received in the Company
671,SHOPRTV PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,ShoprTV INC.,Mauritius,56494.35,741.7091,Received in the company
672,RESULTICKS EDGE SOLUTION TECHNOLOGIES PRIVATE LIMITED,TAMIL NADU,Chennai,Providing software support and maintenance to the clients,RESULTICKS GLOBAL COMPANIES PTE LIMITED,Singapore,54900,703.1736,Received in the company
673,TOWARDS VENTURES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other business support service activities n.e.c,Caleb Friesen,Canada,52260,669.3598,Received in the company
674,C3M INDIA PRIVATE LIMITED,KERALA,Ernakulam,"Providing software support and maintenance to the
clients","C3M, LLC",U.S.A,50000,656.4454,Received in the company
675,"FSALTERNATIVE SOLUTIONS INDIA
PRIVATE LIMITED",MAHARASHTRA,Mumbai,"Other information service activities
n.e.c.",Finserv Consulting LLC,U.S.A,50000,656.4454,"Received in the
company"
676,NAVKAR BRINKER INTERNATIONAL PRIVATE LIMITED,RAJASTHAN,Bikaner,"Other non- specialised
wholesale trade n.e.c.",ZORO HOLDING BV,Netherland,50000,656.4454,Received in the company
677,VEDITY SOFTWARE PRIVATE LIMITED,GUJARAT,Ahmedabad,Web hosting activities,RONAKBEN CHIRAG BHAVSAR,U.S.A,50000,656.4454,"Received in the
company"
678,BAM DLR NETWORK SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,Activities of providing internet access by the operator of the wired infrastructure,Mercury India SG FDI Pte Ltd,Singapore,50000,646.6691,Received in the Company
679,BAM DLR NETWORK SERVICES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Activities of providing internet access by the operator of the
wired infrastructure",Mercury India SG FDI Pte. Ltd.,Singapore,50000,646.6691,Received in the Company
680,Bauer Engineering India Private Limited,DELHI,South Delhi,Architectural and engineering activities and related technical consultancy,Bauer Spezialtiefbau GmbH,Germany,50000,646.6691,Received in the Company
681,CLINTON HEALTH ACCESS INITIATIVE,DELHI,South Delhi,Other business support service,Clinton Health Access Initiative Inc.,U.S.A,50000,646.6691,Received in the
,INDIA PRIVATE LIMITED,,,activities n.e.c,,,,,Company
682,EPX UPTECH PRIVATE LIMITED,DELHI,Central Delhi,"Other information technology and computer service
activities n.e.c",EpowerX Pte. Ltd,Singapore,50000,646.6691,Received in the Company
683,GAMEZ WITH FRIENDS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",ZoomGameZ Inc,U.S.A,50000,646.6691,Received in the Company
684,MENSA LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and
computer service activities n.e.c",Rekord Inc.,U.S.A,49990,646.5397,Received in the Company
685,HYREO TECHNOLOGY SOLUTIONS PRIVATE LIMITED,KERALA,Thiruvananthapuram,"Other information technology and computer service
activities n.e.c",Hyreo Inc,U.S.A,49900,645.3757,Received in the Company
686,RYSLEV OUTDOOR PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of all types of textile garments and clothing accessories,LARS RYSLEV,Denmark,49815,644.2764,Received in the Company
687,LMD RETAIL SPECTRUM PRIVATE LIMITED,MAHARASHTRA,Mumbai,Other retail sale in non-specialized stores,LALS INTERNATIONAL HOLDING LIMITED,UAE,49000,643.3165,Received in the company
688,BLUERIDGE GLOBAL PRIVATE LIMITED,MAHARASHTRA,Pune,"Providing software support and maintenance to the
clients",Blueridge Solutions Inc.,U.S.A,50000,640.4131,Received in the company
689,cognity life india private limited,KARNATAKA,Bengaluru,"Other publishing activities (including
on-line) n.e.c.",Cognity Life INC,U.S.A,50000,640.4131,"Received in the
company"
690,CUMBERLAND TECHNOLOGY INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,BETA PLUS TECHNOLOGIES INC.,U.S.A,50000,640.4131,Received in the company
691,"CUMBERLAND
TECHNOLOGY INDIA PRIVATE LIMITED",KARNATAKA,Bengaluru,"Other information
technology and computer service",BETA PLUS TECHNOLOGIES INC,U.S.A,50000,640.4131,"Received in
the company"
,,,,activities n.e.c,,,,,
692,MT BIDCO CONSULTING SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Trident Bidco Limited,United Kingdom,50000,640.4131,Received in the company
693,MT BIDCO CONSULTING SOLUTIONS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Trident Bidco Limited,United Kingdom,50000,640.4131,Received in the company
694,Nardil Enterprise Private Limited,TAMIL NADU,Tiruchirappalli,Architectural and engineering activities and related technical consultancy,Ramesh Nagarajah,U.S.A,50000,640.4131,Received in the company
695,Ringring Services Private Limited,MAHARASHTRA,Mumbai,"Market research and public opinion
polling",AINTU INC.,U.S.A,50000,640.4131,"Received in the
company"
696,Cantier Systems Private Limited,TAMIL NADU,Chennai,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page
designing",Cantier Systems Pte. Ltd.,Singapore,49990,640.2851,Received in the company
697,Monetize 360 Systems Private Limited,KARNATAKA,Udupi,Other information technology and computer service activities n.e.c,"Monetize360,INC",U.S.A,49990,640.2851,Received in the company
698,HYREO TECHNOLOGY SOLUTIONS PRIVATE LIMITED,KERALA,Thiruvananthapuram,"Other information technology and computer service
activities n.e.c",Hyreo Inc,U.S.A,49900,639.1323,Received in the company
699,GIPL Outsourcing Private Limited,TAMIL NADU,Chennai,"Water collection, treatment and
supply",Susenv Holding Company Pte Ltd,Singapore,49000,633.7357,"Received in the
Company"
700,MAPEXS EXPORT PRIVATE LIMITED,MAHARASHTRA,Mumbai,Wholesale of other basic/manufactured food stuffs n.e.c.,Srikara Foods,U.S.A,49150,629.5261,Received in the company
701,EKNITI INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Collection and distribution of electric energy to
households,",4852N Pte Ltd,Singapore,49000,627.6049,Received in the company
,,,,"industrial, commercial and other users n.e.c.",,,,,
702,STAR GENOMICS INDIA PRIVATE LIMITED,UTTAR PRADESH,Allahabad,Other human health activities n.e.c. (including independent ambulance activities),STAR HEALTH NETWORK INC,U.S.A,49000,627.6049,Received in the company
703,LANYA HOLDINGS PRIVATE LIMITED,TAMIL NADU,Tiruvallur,Activities of holding companies,RAJESH KUMAR MARIAPPAN,U.S.A,47500,614.3356,"Received in the
Company"
704,Ringring Services Private Limited,MAHARASHTRA,Mumbai,Market research and public opinion polling,AINTU INC.,U.S.A,47500,608.3925,Received in the company
705,Atoll Solutions Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Paul David Werp,U.S.A,45000,590.8008,Received in the company
706,Atoll Solutions Private Limited,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Simon C. Morris,Canada,45000,590.8008,Received in the company
707,"RESULTICKS EDGE SOLUTION
TECHNOLOGIES PRIVATE LIMITED",TAMIL NADU,Chennai,"Providing software support and
maintenance to the clients",RESULTICKS GLOBAL COMPANIES PTE LIMITED,Singapore,45000,576.3718,Received in the company
708,KNOWCROSS SOLUTIONS PRIVATE LIMITED,DELHI,South Delhi,"Providing software support and maintenance to the
clients","UniFocus Holdco, Inc.",U.S.A,43526.45,571.4547,Received in the company
709,"TRENCH SHORING RENTAL PRIVATE
LIMITED",DELHI,South Delhi,"Other specialized construction
activities",TWF International GMBH,Austria,44100,570.3621,"Received in the
Company"
710,Studio Proximity Private Limited,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c","Proximity Labs, Inc",U.S.A,40000,525.1563,Received in the company
711,"CLINTON HEALTH ACCESS INITIATIVE INDIA PRIVATE
LIMITED",DELHI,South Delhi,Other business support service activities n.e.c,Clinton Health Access Initiative Inc.,U.S.A,40000,517.3353,Received in the Company
712,LP LOGISTICS PLUS CHEMICAL SCM PRIVATE LIMITED,MAHARASHTRA,Thane,Cargo handling incidental to water transport,MARVIS INVESTMENTS LTD,UAE,40000,512.3305,Received in the company
713,DXR ADVENTURES PRIVATE LIMITED,TAMIL NADU,Chennai,"Real estate activities
with own or leased property",DXR ADVENTURES LLC,U.S.A,37745,495.5506,"Received in
the company"
714,DXR ADVENTURES PRIVATE LIMITED,TAMIL NADU,Chennai,Real estate activities with own or leased property,DXR ADVENTURES LLC,U.S.A,37669.51,494.5595,Received in the company
715,QUECONS ENGINEERING AND CONSULTANTS PRIVATE LIMITED,KERALA,Kannur,"Other professional, scientific and technical activities n.e.c.",GQS AUSTRALIA PTY LTD,Australia,37500,492.334,Received in the company
716,"QUECONS ENGINEERING AND
CONSULTANTS PRIVATE LIMITED",KERALA,Kannur,"Other professional, scientific and
technical activities n.e.c.",GQS AUSTRALIA PTY LTD,Australia,37500,485.0018,Received in the Company
717,ALMA CONNECT SOLUTIONS PRIVATE LIMITED,DELHI,South West Delhi,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",ALMA LABS INC,U.S.A,37720,483.1277,Received in the company
718,DCX SYSTEMS LIMITED,KARNATAKA,Bangalore Rural,Manufacture of other wiring devices and fittings n.e.c.,"NCBG HOLDINGS, INC.",Cayman Islands,34414,451.8182,Received in the company
719,Tvarit Solutions Private Limited,GUJARAT,Vadodara,"Other information technology and computer service
activities n.e.c",Tvarit GmBH,Germany,33330,437.5865,Received in the company
720,Tvarit Solutions Private Limited,GUJARAT,Vadodara,"Other information technology and computer service
activities n.e.c",Tvarit GmBH,Germany,33330,437.5865,Received in the company
721,Tvarit Solutions Private Limited,GUJARAT,Vadodara,Other information technology and computer service activities n.e.c,Tvarit GmBH,Germany,33330,437.5865,Received in the company
722,CLOUDCHEF PRIVATE LIMITED,MAHARASHTRA,Thane,"Other professional, scientific and",Cloudchef Inc.,U.S.A,33333,426.9378,Received in the
,,,,technical activities n.e.c.,,,,,company
723,ES SOLAR PRIVATE LIMITED,KARNATAKA,Bidar,Electric power generation using solar energy,O2 Power SG Pte. Ltd.,Singapore,30733,397.4816,Brownfield
724,XRE NANOTECH PRIVATE LIMITED,HARYANA,Faridabad,Manufacture of other special- purpose machinery n.e.c.,XRD Nano Limited,United Kingdom,30000,393.8672,Greenfield
725,Nardil Enterprise Private Limited,TAMIL NADU,Tiruchirappalli,Architectural and engineering activities and related technical consultancy,Dilkushe Ramesh Nagarajah,U.S.A,30000,384.2479,Received in the company
726,ES ENERGY PRIVATE LIMITED,KARNATAKA,Tumakuru,"Electric power generation using
solar energy",O2 Power SG Pte. Ltd.,Singapore,26988,349.0461,Brownfield
727,"ONSHORE ENGINEERING AND PROJECTS PRIVATE
LIMITED",MAHARASHTRA,Mumbai,Other civil engineering projects n.e.c.,Encore Thermoengineering S.r.l.,Italy,26000,336.2679,Received in the Company
728,Shree Jagannath Expressways Private Limited,ODISHA,Khorda,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and
subways",Galfar Engineering and Contracting SAOG,Oman,26000,333.0148,greenfield
729,MIRELZ AI PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,Mirelz Inc,U.S.A,25000,323.3345,Received in the Company
730,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Javelin,Mauritius,25213.65,322.9431,Received in the company
731,SHOUTO TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Retinso Inc,U.S.A,25000,320.2066,Received in the company
732,I-NURTURE,Karnataka,Bengaluru,Higher education,ADM Capital Limosa Fund,Cayman,24689.47,316.2292,Received in
,EDUCATION SOLUTIONS PRIVATE LIMITED,,,not leading to a degree or equivalent,LP,Islands,,,the company
733,Idemeum India Private Limited,MAHARASHTRA,Raigarh(MH),"Providing software support and
maintenance to the clients",Idemeum Inc,U.S.A,20580,266.169,Received in the Company
734,NINEBOARDS TECHNOLOGIES INDIA PRIVATE LIMITED,TELANGANA,Hyderabad,"Computer consultancy and computer facilities
management activities",Nine Boards LLC,U.S.A,20500,265.1343,Received in the Company
735,GOAT BRAND LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other professional, scientific and technical activities
n.e.c.",The G.O.A.T Brand labs Pte. Ltd.,Singapore,20000,262.5781,Received in the company
736,SEPIA INNOVATIONS PRIVATE LIMITED,MAHARASHTRA,Pune,Providing software support and maintenance to the clients,SEPIA INNOVATIONS K.K.,Japan,19990,258.5383,Received in the Company
737,PREIMAGE PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,PREIMAGE TECHNOLOGIES INC,U.S.A,19999,256.1524,Received in the company
738,GOURMADS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other semi- processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this
excludes the",M/s Colaba Pty Ltd,Australia,15000,196.9336,Received in the company
739,Measureone Solutions Private Limited,GUJARAT,Ahmedabad,"Other professional, scientific and technical activities
n.e.c.",Measureone Inc.,U.S.A,12760.76,167.5348,Received in the company
740,DREPUTE LABS TECHNOLOGIES,MADHYA PRADESH,Vidisha,Other information technology and,R3pute Labs Pte. Ltd.,Singapore,12038.8,155.7024,Received in the
,PRIVATE LIMITED,,,computer service activities n.e.c,,,,,Company
741,UPMEDIA TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Deepmedia Interactive Inc,U.S.A,11998.8,155.1851,Received in the Company
742,WEBOMATES PRIVATE LIMITED,DELHI,East Delhi,"Other information technology and computer service
activities n.e.c",WEBOMATES INC,U.S.A,11798.82,151.1224,Received in the company
743,EDUVANZ FINANCING PRIVATE LIMITED,MAHARASHTRA,Mumbai,Financial leasing,SCI INVESTMENTS VI,Mauritius,11208.48,147.1551,Received in the company
744,HEDWELL IT SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Computer consultancy and computer facilities management
activities",Hedwell Group Germany GmBH,Germany,10000,131.2891,Received in the company
745,COLLABORATIVE ROBOTICS SYSTEMS PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and
computer service activities n.e.c",Avridh Technologies Inc.,U.S.A,9999,131.2759,Received in the company
746,FRACTAL31 PRIVATE LIMITED,GUJARAT,Ahmedabad,"Other information technology and computer service
activities n.e.c",Fractal31 Inc.,U.S.A,9999,131.2759,Received in the company
747,GRAMSTRONG E- SERVICES PRIVATE LIMITED,WEST BENGAL,Purba Bardhaman,Other information technology and computer service activities n.e.c,Toolsvilla Inc.,U.S.A,9999,131.2759,Received in the company
748,TECHWRIT TECHNOLOGIES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Techwrit Technologies Inc.,U.S.A,9999,131.2759,Received in the company
749,INTELLICALL AI PRIVATE LIMITED,HARYANA,Gurgaon,"Other information technology and computer service
activities n.e.c","Call AI, Corp.",U.S.A,9998,131.2628,Received in the company
750,MGC GAMES INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Music Games Company Inc.,U.S.A,9998,131.2628,Received in the company
751,Antwalk Private Limited,KARNATAKA,Bengaluru,OTHER EDUCATIONAL SERVICES N.E.C.,Antwalk Inc.,U.S.A,9990,131.1578,Received in the company
752,Lenvoy Software Support Services Private Limited,Telangana,Hyderabad,"Other information technology and
computer service activities n.e.c",Envoy Global Inc.,U.S.A,9990,131.1578,Received in the company
753,DOCTOR SHRIMP BLUE AQUA INT PRIVATE LIMITED,MAHARASHTRA,Pune,"Processing and preserving of fish crustacean and
similar foods",BLUE AQUA INTERNATIONAL PTE. LTD,Singapore,9900,129.9762,Received in the company
754,Cimatron Technologies Private Limited,MAHARASHTRA,Pune,Wholesale of software,"Sigma TEK Canada, LLC",U.S.A,10000,129.3338,Received in the Company
755,CHISEL LABS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and computer service
activities n.e.c",Chisel Labs Inc.,U.S.A,9999,129.3209,Received in the Company
756,ROOX MEDIA PRIVATE LIMITED,TAMIL NADU,Chennai,Production of motion picture,M/s. Aker Group Corp,U.S.A,9990,129.2045,Received in the Company
757,SRPSC INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Other information technology and computer service
activities n.e.c",Stellar US Service Co LLC,U.S.A,9990,129.2045,Received in the Company
758,CLINIKALLY DIGITAL HEALTH PRIVATE LIMITED,HARYANA,Gurgaon,Retail sale of perfumery and cosmetic articles,CLINIKALLY INC,U.S.A,10000,128.0826,Received in the company
759,CLINTON HEALTH ACCESS INITIATIVE INDIA PRIVATE LIMITED,DELHI,South Delhi,Other business support service activities n.e.c,Clinton Health Access Initiative-Canada,Canada,10000,128.0826,Received in the company
760,FUSION CONSULTING INDIA PRIVATE LIMITED,HARYANA,Gurgaon,"Providing software support and maintenance to the
clients",Fusion Health Care Technology Solutions Singapore Pte Ltd,Singapore,10000,128.0826,Received in the company
761,REWAIR COMPOSITES INDIA PRIVATE LIMITED,TAMIL NADU,Chennai,"Manufacture of engines and turbines, except aircraft, vehicle and
cycle engines","REWAIR HOLDING INDIA
A/S",Denmark,10000,128.0826,Received in the company
762,DREAMCHAIN,KARNATAKA,Bengaluru,Other information,CAPITALL TECHNOLOGIES,Singapore,9999,128.0698,Received in
,TECHNOLOGIES PRIVATE LIMITED,,,technology and computer service activities n.e.c,PTE LTD,,,,the company
763,Fieldproxy Private Limited,TAMIL NADU,Chennai,"Other information technology and
computer service activities n.e.c",Fieldproxy Inc,U.S.A,9999,128.0698,Received in the company
764,Metahill India Private Limited,UTTAR PRADESH,Ghaziabad,"Other information technology and computer service
activities n.e.c",Metahill Inc.,U.S.A,9999,128.0698,Received in the company
765,HILDENE INDIA PRIVATE LIMITED,HARYANA,Gurgaon,Other business support service activities n.e.c,"HILDENE CAPITAL MANAGEMENT, LLC",U.S.A,9900,128.0405,Received in the Company
766,RECAP SOLAR INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Electric power generation using other non conventional
sources",RECAP SOLAR FUND IV AB,Sweden,9900,126.8018,Received in the company
767,CLEARTRADE.AI PRIVATE LIMITED,KERALA,Thiruvananthapuram,Other information technology and computer service activities n.e.c,CLEAREYE.AI INC,U.S.A,9800,125.521,Received in the company
768,OAITU PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of
electroplating machinery",Hyper Lychee Inc.,U.S.A,9300,122.0988,"Received in
the company"
769,FAN2PLAY GAMES PRIVATE LIMITED,DELHI,Central Delhi,Other amusement and recreation activities n.e.c.,FAN2PLAY AB,Sweden,8980,117.8976,Received in the company
770,KODATA LABS PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Glimpay INC.,U.S.A,9000,115.2744,Received in the company
771,HANSEN TECHSOL PRIVATE LIMITED,MAHARASHTRA,Pune,"Providing software support and maintenance to the
clients","SOFTWARE PRODUCT CREATION, S.L.",Spain,8969.15,114.8792,Received in the company
772,GAMKABAN SOFTWARE PRIVATE LIMITED,GUJARAT,Surat,"Computer consultancy and computer facilities management
activities",PHYLLO INC.,U.S.A,8606,111.3047,Received in the Company
773,Quartel Consulting Private Limited,MAHARASHTRA,Nagpur,Other information technology and computer service activities n.e.c,Adam James Allan,United Kingdom,7860,100.6729,Received in the company
774,Fictiv Technology Solutions Private Limited,MAHARASHTRA,Pune,Providing software support and maintenance to the clients,FICTIV INC,U.S.A,7500,96.062,Received in the company
