"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,LOGISTICS AND WAREHOUSING PRIVATE LIMITED,,,,,,activities,,,,,,,,,,,
332,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"34,70,005.4000",,46038.0829,,Received in the company,
333,,OROVIA SOFTWARE PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Orovia Group Limited,,United Kingdom,,"34,02,000.0000",,45135.8254,,Received in the company,
334,,SGD Pharma India Private Limited,,TELANGANA,,Mahabub Nagar,,Manufacture of laboratory or pharmaceutical glassware,,Netherlands Glass Investment BV,,Netherland,,"32,40,428.4000",,43497.7267,,Received in the Company,
335,,Ivypods Technology Private Limited,,HARYANA,,Gurgaon,,OTHER EDUCATIONAL SERVICES N.E.C.,,Elevation Capital VII Limited,,Mauritius,,"32,47,335.0000",,43346.7529,,Received in the company,
336,,EVENTILA TECHNOLOGIES PRIVATE LIMITED,,DELHI,,South West Delhi,,Other photographic activities,,Intelligrape Holding Pte. Ltd.,,Singapore,,"30,00,000.0000",,40270.3483,,Received in the Company,
337,,Evolvus Solutions Private Limited,,KARNATAKA,,Bengaluru,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,Ivan Aloysius Fernandes,,UAE,,"30,16,000.0000",,40258.7989,,Received in the company,
338,,OFB TECH PRIVATE LIMITED,,DELHI,,South West Delhi,,Other non-specialised wholesale trade n.e.c.,,"Matrix Partners India Investments II Extension, LLC",,Mauritius,,"29,96,463.9600",,39755.401,,Received in the company,
339,,Revosauto Tech Private Limited,,KARNATAKA,,Bengaluru,,Other information service activities n.e.c.,,Seabright III Ltd,,Mauritius,,"29,51,311.0000",,39616.7739,,Received in the Company,
340,,ANAR COIR PRIVATE LIMITED,,TAMIL NADU,,Kanchipuram,,Landscape care and maintenance service activities,,FIBRE DUST LLC,,U.S.A,,"29,25,000.0000",,39044.0938,,Received in the company,
341,,SWIFIC TECHNOLOGY PRIVATE LIMITED,,RAJASTHAN,,Jaipur,,Publishing of operating business and other applications,,"Lightspeed India Partners III, LLC",,Mauritius,,"28,75,385.7000",,38149.0026,,Received in the company,
342,,SWIFIC TECHNOLOGY PRIVATE LIMITED,,RAJASTHAN,,Jaipur,,Publishing of operating business and other applications,,SCI VENTURE INVESTMENTS VII,,Mauritius,,"28,75,385.7000",,38149.0026,,Received in the company,
343,,ASPM FISCUS PRIVATE LIMITED,,DELHI,,Central Delhi,,"Other information technology
and computer service activities n.e.c",,RAGHU NATHAN KUMAR,,U.S.A,,"27,74,732.5400",,36813.593,,"Received in
the company",
344,,HDFC SECURITIES LIMITED,,MAHARASHTRA,,Mumbai,,Security and commodity,,AHMED ALI HUSAIN,,UAE,,"27,47,470.8100",,36674.3617,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,contracts brokerage,,NALWALA,,,,,,,,the company,
345,,FUJI ELECTRIC CONSUL NEOWATT PRIVATE LIMITED,,TAMIL NADU,,Kanchipuram,,Manufacture of other electrical equipment,,Fuji Electric Company Ltd,,Japan,,"27,08,123.0000",,35929.8551,,Received in the company,
346,,Sankalp Securities Private Limited,,MAHARASHTRA,,Mumbai,,Activities auxiliary to financial service activities n.e.c.,,Collectius 1 AG,,Switzerland,,"26,40,446.0000",,35031.9546,,Received in the company,
347,,MINTOAK INNOVATIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other business support service activities n.e.c,,ABHINAV SHASHANK,,U.S.A,,"24,98,964.3000",,33154.8549,,Received in the company,
348,,Sankalp Securities Private Limited,,MAHARASHTRA,,Mumbai,,Activities auxiliary to financial service activities n.e.c.,,Collectius 1 AG,,Switzerland,,"24,65,742.0000",,32913.7306,,"Received in the
company",
349,,SREYAS HOLISTIC REMEDIES PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Medical practice activities,,HYMAVATHI POREDDY,,Australia,,"24,00,000.0000",,32036.1795,,Received in the company,
350,,APPSMITH SOFTWARE PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,APPSMITH INC,,U.S.A,,"23,29,539.0000",,31270.4489,,Received in the Company,
351,,apalya technologies private limited,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,YUPP VIDEO SERVICES LLC,,U.S.A,,"22,35,251.0000",,29837.0426,,Received in the company,
352,,Human Data Systems Private Limited,,DELHI,,South Delhi,,Other non-specialised wholesale trade n.e.c.,,Human Data SG Pte Ltd.,,Singapore,,"22,15,761.0000",,29743.1557,,Received in the Company,
353,,EXXAT SYSTEMS PRIVATE LIMITED,,GUJARAT,,Vadodara,,Providing software support and maintenance to the clients,,EXXAT INC,,U.S.A,,"22,19,300.0000",,29624.1222,,Received in the company,
354,,Human Data Systems Private Limited,,DELHI,,South Delhi,,Other non-specialised wholesale trade n.e.c.,,Human Data SG Pte Ltd,,Singapore,,"22,15,761.0000",,29576.8822,,Received in the company,
355,,Datascape Realty Private Limited,,MAHARASHTRA,,Thane,,"Other data processing, hosting and related activities n.e.c.",,ASCENDAS PROPERTY FUND (INDIA) PTE. LTD.,,Singapore,,"22,02,186.0000",,29560.9324,,"Received in the
Company",
356,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"20,07,780.0000",,26951.3333,,Received in the Company,
357,,Cropin Technology Solutions Private Limited,,KARNATAKA,,Bengaluru,,"Other information technology
and computer service activities n.e.c",,KAYENNE VENTURES PTE. LTD,,Singapore,,"19,76,530.0000",,26223.49,,"Received in
the company",
358,,SASMOS HET,,KARNATAKA,,Bengaluru,,Manufacture of other wiring,,LUMIPOL INTERNATIONAL,,Netherland,,"19,50,000.0000",,26175.7264,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,TECHNOLOGIES LIMITED,,,,,,devices and fittings n.e.c.,,B.V.,,,,,,,,the Company,
359,,INFO ORIGIN TECHNOLOGIES PRIVATE LIMITED,,MAHARASHTRA,,Gondia,,Providing software support and maintenance to the clients,,Info Origin Inc,,U.S.A,,"18,41,350.0000",,24429.9977,,Received in the company,
360,,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,,DELHI,,South Delhi,,Other amusement and recreation activities n.e.c.,,M League Pte Ltd,,Singapore,,"18,25,387.0000",,24218.2096,,Received in the company,
361,,CLEAN MAX ENVIRO ENERGY SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Electric power generation using solar energy,,"Augment India I Holdings, LLC",,Cayman Islands,,"17,63,245.8100",,23536.5247,,Received in the company,
362,,BALA AATRAL SOLUTIONS PRIVATE LIMITED,,TAMIL NADU,,Chennai,,"Providing software support and maintenance to the
clients",,ANSIO LTD,,United Kingdom,,"16,92,600.0000",,22720.5305,,"Received in the
Company",
363,,INDUSTRIAL GUAR PRODUCTS PRIVATE LIMITED,,RAJASTHAN,,Alwar,,Other grain milling and processing n.e.c.,,PFP TECHNOLOGY L.L.C.,,U.S.A,,"16,75,516.0400",,22229.8058,,Received in the company,
364,,INDUSTRIAL GUAR PRODUCTS PRIVATE LIMITED,,RAJASTHAN,,Alwar,,Other grain milling and processing n.e.c.,,PFP TECHNOLOGY L.L.C.,,U.S.A,,"16,44,969.6000",,21957.7256,,Received in the company,
365,,INVERTEDI IT CONSULTANCY PRIVATE LIMITED,,CHANDIGARH,,Chandigarh,,Other information technology and computer service activities n.e.c,,"ENSEMBLE RCM, LLC",,U.S.A,,"16,30,926.0000",,21638.2102,,Received in the company,
366,,INVERTEDI IT CONSULTANCY PRIVATE LIMITED,,CHANDIGARH,,Chandigarh,,Other information technology and computer service activities n.e.c,,ENSEMBLE RCM LLC,,U.S.A,,"16,30,926.0000",,21638.2102,,Received in the company,
367,,Revosauto Tech Private Limited,,KARNATAKA,,Bengaluru,,Other information service activities n.e.c.,,Seabright III Ltd,,Mauritius,,"16,09,806.0000",,21609.1494,,Received in the Company,
368,,Revosauto Tech Private Limited,,KARNATAKA,,Bengaluru,,Other information service activities n.e.c.,,Seabright III Ltd,,Mauritius,,"16,09,806.0000",,21358.0019,,Received in the company,
369,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities,
n.e.c.",,Norwest Capital LLC,,U.S.A,,"15,86,411.9000",,21295.1199,,Received in the Company,
370,,VEERSA TECHNOLOGIES INDIA PRIVATE LIMITED,,DELHI,,South Delhi,,Providing software support and maintenance to the clients,,VEERSA,,U.S.A,,"14,99,990.0000",,20135.0399,,Received in the Company,
371,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client",,TECHNOPRO HOLDINGS INC,,Japan,,"15,02,998.6800",,20062.6398,,Received in the company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,excluding web-page designing,,,,,,,,,,,
372,,GAMINGMONK ENTERTAINMENT PRIVATE LIMITED,,DELHI,,South Delhi,,Other amusement and recreation activities n.e.c.,,M League Pte Ltd,,Singapore,,"14,93,913.7600",,19941.3706,,Received in the company,
373,,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,Kintan D. Brahmbhatt,,U.S.A,,"14,32,125.0000",,19224.0575,,Received in the Company,
374,,ASAHITEC STENCILS PRIVATE LIMITED,,TAMIL NADU,,Kanchipuram,,Machining; treatment and coating of metals,,ASAHITEC CO LTD,,Japan,,"13,97,800.0000",,18763.2976,,Received in the Company,
375,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client
excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"13,77,976.9300",,18393.7985,,Received in the company,
376,,ACTY SYSTEM INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information technology and computer service activities n.e.c,,ACTY SYSTEM CO LTD,,Japan,,"13,66,725.0000",,18243.6031,,Received in the company,
377,,MANNA HEALTHCARE PRIVATE LIMITED,,DELHI,,North West Delhi,,Telephone based information services,,Roundglass LLC,,U.S.A,,"12,93,211.7900",,17262.3188,,Received in the company,
378,,TURTLE SHELL TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Seabright III Ltd.,,Mauritius,,"12,62,801.0000",,16951.1454,,Received in the Company,
379,,TALODYN NETWORKS PRIVATE LIMITED,,TAMIL NADU,,Chennai,,Activities of employment placement agencies,,DIAMONDPICK INC.,,U.S.A,,"12,50,000.0000",,16779.3118,,Received in the Company,
380,,Swiftace AI Private Limited,,ANDHRA PRADESH,,Visakhapatnam,,Other information technology and computer service activities n.e.c,,"SWIFTACE, INC",,U.S.A,,"12,24,477.0000",,16436.7051,,Received in the Company,
381,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"12,06,630.0000",,16008.8892,,Received in the company,
382,,"ORANGE TREE TECHNOLOGIES PRIVATE
LIMITED",,HARYANA,,Gurgaon,,"Other professional, scientific and technical activities n.e.c.",,Diary LLC,,U.S.A,,"11,58,903.0000",,15556.4758,,"Received in the
Company",
383,,APPTAD TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,APPTAD INC,,U.S.A,,"11,52,000.0000",,15463.8137,,Received in the Company,
384,,Ivypods Technology Private Limited,,HARYANA,,Gurgaon,,OTHER EDUCATIONAL SERVICES N.E.C.,,Elevation Capital VII Limited,,Mauritius,,"11,54,608.0000",,15412.1788,,"Received in
the company",
385,,Mediphore Systems and,,TAMIL NADU,,Chennai,,"Writing, modifying, testing of",,Mediphore Inc.,,U.S.A,,"10,40,900.0000",,13972.4685,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,Technologies Private Limited,,,,,,computer program to meet the needs of a particular client excluding web-page designing,,,,,,,,,,the Company,
386,,COMSENSE TECHNOLOGIES PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Other information technology and computer service activities n.e.c,,Copernicus Consulting PTE LTD,,Singapore,,"10,27,732.5000",,13635.3776,,Received in the company,
387,,Give Vinduet Windows and Doors Private Limited,,KERALA,,Ernakulam,,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof tr",,Redribbon Modulex Buildings Limited,,Mauritius,,"10,00,000.0000",,13267.4384,,Received in the company,
388,,MANNA HEALTHCARE PRIVATE LIMITED,,DELHI,,North West Delhi,,Telephone based information services,,Roundglass LLC,,U.S.A,,"9,69,945.6300",,13020.0161,,Received in the Company,
389,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"9,05,790.0000",,12158.8263,,Received in the Company,
390,,TPP TECHNO PLASTIC PRODUCTS INDIA PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,"Manufacture of laboratory apparatus (laboratory ultrasonic cleaning machinery, laboratory sterilizers, laboratory type distilling apparatus, laboratory
centrifuges etc.)",,TPP TECHNO PLASTIC PRODUCTS AG,,Switzerland,,"8,84,007.4500",,11800.0922,,Received in the company,
391,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"8,01,150.0000",,10754.1965,,Received in the Company,
392,,Homevista Decor and Furnishings Private Limited,,KARNATAKA,,Bengaluru,,Activities of interior decorators,,Accel India IV (Mauritius) Limited,,Mauritius,,"7,67,456.2500",,10182.1785,,Received in the company,
393,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet
the needs of a particular client excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"7,30,054.0000",,9745.0588,,Received in the company,
394,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet
the needs of a particular client excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"7,30,054.0000",,9745.0588,,Received in the company,
395,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet",,TECHNOPRO HOLDINGS INC,,Japan,,"7,30,054.0000",,9745.0588,,Received in the,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,,,,,,,the needs of a particular client excluding web-page designing,,,,,,,,,,company,
396,,Ivypods Technology Private Limited,,HARYANA,,Gurgaon,,OTHER EDUCATIONAL SERVICES N.E.C.,,Elevation Capital VII Limited,,Mauritius,,"7,21,630.0000",,9632.6118,,Received in the company,
397,,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Manufacture of other fabricated metal products n.e.c.,,SCI Growth Investments III,,Mauritius,,"7,03,308.2000",,9331.0982,,Received in the company,
398,,Homevista Decor and Furnishings Private Limited,,KARNATAKA,,Bengaluru,,Activities of interior decorators,,Accel India IV (Mauritius) Limited,,Mauritius,,"6,39,751.5300",,8487.864,,Received in the company,
399,,AOSYS PRIVATE LIMITED,,GUJARAT,,Ahmedabad,,"Wholesale of scientific, medical and surgical machinery and equipment",,PRASHANTHA WANIGASURIYA,,Sri Lanka,,"6,30,000.0000",,8358.4862,,Received in the company,
400,,D2C CONSULTING SERVICES PRIVATE LIMITED,,DELHI,,West Delhi,,Management consultancy activities,,APIS GROWTH II (ROSE) PTE. LTD.,,Singapore,,"6,09,822.0000",,8090.7758,,Received in the company,
401,,AEGIS LOGISTICS LIMITED,,GUJARAT,,Valsad,,"Wholesale of solid, liquid and gaseous fuels and related products",,Trans Asia Petroleum Inc.,,Mauritius,,"5,86,359.0000",,7870.9604,,Received in the Company,
402,,OPTIMUM INFORMATICS PRIVATE LIMITED,,GUJARAT,,Ahmedabad,,Publishing of operating systems and system software,,OPTIMUM TREAD SOLUTIONS INC,,U.S.A,,"5,75,248.2400",,7632.0706,,Received in the company,
403,,Datascape Realty Private Limited,,MAHARASHTRA,,Thane,,"Other data processing, hosting and related activities n.e.c.",,ASCENDAS PROPERTY FUND (INDIA) PTE. LTD.,,Singapore,,"5,50,959.0000",,7395.7703,,Received in the Company,
404,,BALA AATRAL SOLUTIONS PRIVATE LIMITED,,TAMIL NADU,,Chennai,,"Providing software support and maintenance to the
clients",,ANSIO LTD,,United Kingdom,,"5,44,050.0000",,7262.2014,,"Received in the
company",
405,,Uncanny Vision Solutions Private Limited,,KERALA,,Thrissur,,Computer consultancy and computer facilities management activities,,EAGLE EYE NETWORKS INC,,U.S.A,,"5,10,309.0000",,6850.1071,,Received in the Company,
406,,ANANT RAJ HOTELS LIMITED,,DELHI,,South Delhi,,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in
foreign trade zones",,BREP Asia II EIP Holding (NQ) Pte Ltd,,Singapore,,"5,00,000.0000",,6674.2041,,Received in the company,
407,,GOODLUCK BUILDTECH,,DELHI,,South Delhi,,Storage and warehousing,,BREP Asia II EIP Holding,,Singapore,,"5,00,000.0000",,6674.2041,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,PRIVATE LIMITED,,,,,,"n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones",,(NQ) Pte Ltd,,,,,,,,the company,
408,,NROAD INDIA PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Other information technology and computer service activities n.e.c,,NROAD INC,,U.S.A,,"4,89,830.0000",,6498.7893,,Received in the company,
409,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"4,80,690.0000",,6452.5179,,Received in the Company,
410,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"4,62,637.0000",,6138.0079,,Received in the company,
411,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,Norwest Capital LLC,,U.S.A,,"4,62,637.0000",,6138.0079,,Received in the company,
412,,Homevista Decor and Furnishings Private Limited,,KARNATAKA,,Bengaluru,,Activities of interior decorators,,Accel India IV (Mauritius) Limited,,Mauritius,,"4,46,147.9000",,5919.2398,,Received in the company,
413,,CA INFOTECH INDIA PRIVATE LIMITED,,TAMIL NADU,,Kanchipuram,,Providing software support and maintenance to the clients,,DENTULU INC,,U.S.A,,"4,29,264.0000",,5762.2036,,Received in the Company,
414,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"4,05,480.0000",,5442.9403,,"Received in the
Company",
415,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"4,05,480.0000",,5379.6809,,Received in the company,
416,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"4,05,480.0000",,5379.6809,,Received in the company,
417,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"4,05,480.0000",,5379.6809,,Received in the company,
418,,NEXDIGM PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Management consultancy activities,,Trupti Hiren Mehta,,UAE,,"4,02,480.0000",,5339.8786,,"Received in
the company",
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
419,,OROVIA SOFTWARE PRIVATE LIMITED,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,Orovia Group Limited,,United Kingdom,,"3,78,000.0000",,5015.0917,,Received in the company,
420,,Neuokosh Capital Private Limited,,KARNATAKA,,Bengaluru,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,KOSHEX INC,,U.S.A,,"3,59,476.0000",,4769.3257,,Received in the company,
421,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"3,47,091.7000",,4659.1679,,Received in the Company,
422,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities,
n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"3,47,091.7000",,4659.1679,,Received in the Company,
423,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities,
n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"3,47,091.7000",,4605.0177,,Received in the company,
424,,UMMEED HOUSING FINANCE PRIVATE LIMITED,,HARYANA,,Gurgaon,,"Other financial service activities, except insurance and pension funding activities, n.e.c.",,"Norwest Capital, LLC",,U.S.A,,"3,47,091.7000",,4605.0177,,Received in the company,
425,,IMPERIAL PLATFORMS PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other information service activities n.e.c.,,IMPERIAL PLATFORMS INC,,U.S.A,,"2,99,990.0000",,4004.389,,"Received in
the company",
426,,OCS ENERGY SERVICES INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,OCS SERVICES PTE LTD,,Singapore,,"2,60,990.0000",,3462.6687,,Received in the company,
427,,IQARENA PRIVATE LIMITED,,GUJARAT,,Ahmedabad,,Other information technology and computer service activities n.e.c,,IQARENA INC.,,U.S.A,,"2,49,975.0000",,3355.5268,,Received in the Company,
428,,METTUBE INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Manufacture of Copper from ore, and other copper products and alloys",,METTUBE SDN BHD,,Malaysia,,"2,47,500.0000",,3303.731,,Received in the company,
429,,PINKPEPPER CONCEPTS PRIVATE LIMITED,,DELHI,,South West Delhi,,MANUFACTURE OF OTHER PERFUMES AND TOILET PREPARATIONS N.E.C.,,Ankur Bansal,,UAE,,"2,40,000.0000",,3221.6279,,Received in the Company,
430,,Neuokosh Capital Private Limited,,KARNATAKA,,Bengaluru,,"Other financial service activities, except insurance
and pension funding activities, n.e.c.",,KOSHEX INC,,U.S.A,,"2,29,400.0000",,3079.3393,,Received in the Company,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
431,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte Ltd,,Singapore,,"2,22,360.0000",,2968.152,,Received in the company,
432,,KETTO ONLINE VENTURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Other professional, scientific and technical activities n.e.c.",,Beenext Emerging Asia Pte. Ltd,,Singapore,,"2,02,740.0000",,2689.8405,,Received in the company,
433,,JOBIAK SOFTWARE PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Other information technology and computer service activities n.e.c,,Jobiak LLC,,U.S.A,,"1,91,960.0000",,2562.3604,,Received in the company,
434,,TRENDSPACE IT PARK PRIVATE LIMITED,,HARYANA,,Gurgaon,,Construction and maintenance of industrial facilities such as refineries chemical plants etc.,,ASCENDAS PROPERTY FUND (INDIA) PTE LTD,,Singapore,,"1,90,000.0000",,2520.8133,,Received in the company,
435,,SERVFAR SERVICES PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Other information technology and computer service activities n.e.c,,REENOO KOCHAR,,U.S.A,,"1,82,720.0000",,2452.7327,,Received in the Company,
436,,TEKRA SOLUTIONS PRIVATE LIMITED,,MAHARASHTRA,,Raigarh(MH),,Social work activities without accommodation for the elderly and disabled,,ABLETEK INC,,U.S.A,,"1,80,500.0000",,2422.9326,,Received in the Company,
437,,SIGMASOFT INFOTECH PRIVATE LIMITED,,TELANGANA,,Hyderabad,,Publishing of operating systems and system software,,Prasad Vaddadi,,U.S.A,,"1,80,000.0000",,2416.2209,,Received in the Company,
438,,Retter Technology Consulting Private Limited,,KARNATAKA,,Bengaluru,,Other information technology and computer service activities n.e.c,,"Harness Inc.,",,U.S.A,,"1,77,413.7000",,2381.5038,,Received in the Company,
439,,DBXENTO SYSTEMS PRIVATE LIMITED,,MAHARASHTRA,,Pune,,Other information technology and computer service activities n.e.c,,Entrata Europe B V,,Netherland,,"1,74,674.7800",,2344.7381,,Received in the Company,
440,,ASTER DM HEALTHCARE LIMITED,,KARNATAKA,,Bengaluru,,Hospital activities,,Alaeddin Ahmad Yousef Atari,,UAE,,"1,60,000.0000",,2147.7519,,"Received in the
Company",
441,,Catabel Industrial logistics and warehousing private limited,,Tamil Nadu,,Chennai,,Other specialized construction activities,,ESR India Fund Spv 12 Pte. Ltd.,,Singapore,,"1,40,573.9900",,1886.9878,,Greenfield,
442,,Braincapital Labs Private Limited,,TELANGANA,,Hyderabad,,"Writing, modifying, testing of computer program to meet
the needs of a particular client excluding web-page designing",,"NOTION HOLDING, LLC",,U.S.A,,"1,20,880.9300",,1622.6391,,Received in the Company,
